Datum:;2016-05-29 17:50:54
Firmware-Version;0x0150;0x2100;0x0000;0x0000
ESCON Studio Version:;2.2
Index:;0x3001;0x3003
Sub-Index: ;0x00;0x00
Max. Proben:;512
Aufgezeichnete Proben:;476
Abtastzeitraum:;27.489
Zeit;Ist-Motorstrom gemittelt;Ist-Drehzahl gemittelt
ms;A;min-1
8384.145;0.2805;6442.9
8411.634;0.2813;6446.8
8439.123;0.2858;6446.2
8466.612;0.2830;6446.5
8494.101;0.2827;6446.5
8521.590;0.2781;6445.9
8549.079;0.2833;6444.6
8576.568;0.2824;6445.6
8604.057;0.2856;6443.9
8631.546;0.2785;6445.3
8659.035;0.2813;6445.8
8686.524;0.2853;6444.8
8714.013;0.2856;6445.4
8741.502;0.2856;6446.4
8768.991;0.2815;6446.1
8796.480;0.2836;6444.9
8823.969;0.2877;6445.4
8851.458;0.2849;6446.1
8878.947;0.2827;6446.1
8906.436;0.2826;6445.5
8933.925;0.2808;6444.7
8961.414;0.2805;6446.0
8988.903;0.2799;6446.0
9016.392;0.2833;6445.7
9043.881;0.2823;6445.6
9071.370;0.2818;6446.6
9098.859;0.2857;6444.2
9126.348;0.2815;6446.4
9153.837;0.2836;6446.3
9181.326;0.2843;6446.7
9208.815;0.2827;6445.7
9236.304;0.2814;6448.2
9263.793;0.2828;6447.2
9291.282;0.2836;6447.9
9318.771;0.2783;6445.8
9346.260;0.2839;6445.6
9373.749;0.2849;6445.3
9401.238;0.2830;6445.9
9428.727;0.2810;6446.6
9456.216;0.2835;6446.4
9483.705;0.2831;6446.2
9511.194;0.2801;6448.4
9538.683;0.2862;6448.8
9566.172;0.2845;6447.9
9593.661;0.2854;6447.2
9621.150;0.2847;6446.5
9648.639;0.2803;6446.4
9676.128;0.2818;6446.7
9703.617;0.2845;6447.5
9731.106;0.2805;6448.1
9758.595;0.2797;6448.6
9786.084;0.2818;6446.0
9813.573;0.2815;6445.9
9841.062;0.2794;6446.5
9868.551;0.2797;6447.1
9896.040;0.2867;6446.4
9923.529;0.2824;6446.3
9951.018;0.2845;6446.4
9978.507;0.2775;6446.0
10005.996;0.2830;6446.9
10033.485;0.2811;6448.0
10060.974;0.2788;6447.4
10088.463;0.2791;6447.2
10115.952;0.2755;6447.8
10143.441;0.2761;6446.8
10170.930;0.2832;6445.5
10198.419;0.2836;6446.3
10225.908;0.2831;6447.1
10253.397;0.2779;6446.3
10280.886;0.2853;6446.1
10308.375;0.2815;6445.3
10335.864;0.2808;6445.7
10363.353;0.2831;6446.8
10390.842;0.2829;6447.3
10418.331;0.2794;6447.0
10445.820;0.2805;6447.1
10473.309;0.2827;6446.8
10500.798;0.2758;6446.9
10528.287;0.2794;6445.8
10555.776;0.2772;6446.3
10583.265;0.2775;6447.6
10610.754;0.2791;6447.6
10638.243;0.2827;6447.4
10665.732;0.2809;6448.0
10693.221;0.2790;6447.3
10720.710;0.2804;6447.3
10748.199;0.2781;6446.8
10775.688;0.2782;6447.0
10803.177;0.2797;6445.8
10830.666;0.2762;6446.4
10858.155;0.2843;6445.5
10885.644;0.2796;6446.6
10913.133;0.2838;6447.0
10940.622;0.2835;6447.3
10968.111;0.2803;6447.9
10995.600;0.2798;6446.6
11023.089;0.2783;6447.1
11050.578;0.2777;6447.9
11078.067;0.2839;6446.4
11105.556;0.2796;6446.6
11133.045;0.2857;6446.4
11160.534;0.2850;6447.4
11188.023;0.2801;6446.6
11215.512;0.2830;6447.4
11243.001;0.2804;6446.7
11270.490;0.2775;6447.6
11297.979;0.2768;6447.0
11325.468;0.2805;6446.0
11352.957;0.2757;6445.6
11380.446;0.2821;6448.4
11407.935;0.2828;6447.0
11435.424;0.2862;6448.1
